I believe in America.|我相信美国
America has made my fortune...|美国使我发了财...
and I raised my daughter in the American fashion.|而我以美国方式教养我的女儿
I give her freedom|我给她自由
but I taught her never to dishonor her family.|但也告诉她永远不要有辱家门
She found a boyfriend, Not an Italian.|她交了个男友, 但不是意大利人
She went to the movies with him. She stayed out late.|她跟他去看电影, 深夜才回家
I didn't protest.|我并没有责骂她
Two months ago, he took her for a drive...|两个月前他与另一个男孩
with another boyfriend.|带她去兜风
They made her drink whiskey|他们强灌她喝威士忌
and then they tried to take advantage of her.|然后他们想要占她的便宜
She resisted, She kept her honor.|她反抗, 她保住了她的名节
So they beat her like an animal.|于是他们像对待动物一样打她
When I went to the hospital, her nose was broken|当我赶到医院时, 她的鼻梁断了
her jaw was shattered|她的下巴被打碎了
held together by wire.|用钢丝绑着才不会掉下来
She couldn't even weep because of the pain.|她痛得连眼泪都哭不出来了
But I wept. Why did I weep?|但我却哭了, 我为什么哭呢?
She was the light of my life.|她是我的生命之光
Beautiful girl.|漂亮的女孩
Now she will never be beautiful again.|现在她再也不会漂亮了
Sorry.|不好意思
I... I went to the police like a good American.|我... 我像个守法的美国人一样, 我去报警
These two boys were brought to trial.|那两个男孩受到了审判
Ajudge sentence them to three years in prison, and suspend their sentence.|法官判处他们3年监禁, 但缓期执行
Suspended the sentence!|缓期执行!
They went free that very day!|他们当天就被释放了!
I stood in the courtroom like a fool.|我像个傻瓜似的站在法庭中
And those two bastard, they smiled at me.|而那两个混蛋, 竟朝着我笑
Then I said to my wife|于是我对我太太说
"For justice we must go to Don Corleone."|"为求公道, 我们必须去找柯里昂阁下"
Why did you go to the police? Why didn't you come to me first?|你为什么去找警察? 你为什么不先来找我?
What do you want of me?|你想要我怎么样?
Tell me anything, but do what I beg you to do.|你尽管吩咐, 但求你一定要帮我个忙
What is that?|帮什么忙?
I want them dead.|我要他们死
That I cannot do.|那个我办不到
I'll give you anything you ask.|你要什么我都会给你
We've known each other many years|我们认识很多年了
but this is the first time you ever came to me for counsel or for help.|但这是你第一次来找我帮忙
I can't remember the last time that you invited me to your house for a cup of coffee.|我不记得你上次邀请我到你家喝杯咖啡是什么时候了
Even though my wife is godmother to your only child.|何况我太太还是你独生女的教母
But let's be frank.|我坦白说吧
You never wanted my friendship.|你从来就不想要我的友谊
And you were afraid to be in my debt.|而且你害怕欠我人情
I didn't want to get into trouble.|我不想卷入是非
I understand.|我理解
You found paradise in America.|你在美国发了财
You had a good trade, made a good living.|生意做的不错, 生活过得很好
Police protected you, and there were courts of law.|有警察和法律保护你
So you didn't need a friend like me.|所以你不需要我这样的朋友
But now you come to me and you say...|现在你来找我, 你说...
"Don Corleone, give me justice."|"柯里昂阁下, 请帮我主持公道"
But you don't ask with respect.|但你对我一点尊重也没有
You don't offer friendship.|你没有把我当朋友
You don't even think to call me "Godfather."|你甚至不愿意喊我"教父"
Instead, you come into my house on the day my daughter is to be married|相反, 你在我女儿结婚的当天来到我家
and you ask me to do murder for money.|用钱收买我为你杀人
I ask you for justice.|我请求你主持公道
That is not justice. Your daughter is still alive.|那不是公道. 你女儿还活着
Let them must suffer then as she suffers.|那么让他们像她一样受折磨
How much shall I pay you?|我应该付你多少钱?
Bonasera, Bonasera.|包纳萨拉, 包纳萨拉
What have I ever done to make you treat me so disrespectfully?|到底我做了什么让你这么不尊重我
If you'd come to me in friendship|如果你以朋友的身份来找我
then the scum that ruined your daughter would be suffering this very day.|那么毁了你女儿的杂碎, 会在今天就遭受痛苦
And if by chance, an honest man like yourself should make enemies|如果一个像你这样诚实的人碰巧树敌了
then they would become my enemies.|那么他们也就是我的敌人
And then they would fear you.|然后他们就会害怕你
Be my friend?|做我的朋友?
Godfather.|教父
Good.|很好
Someday, and that day may never come|有一天, 也许那一天永远不会到来
I'll call upon you to do a service for me.|我会叫你为我效劳
But, uh... until that day,|但是, 嗯... 在那一天到来之前
accept this justice as a gift on my daughter's wedding day.|收下这份公道作为我女儿的结婚礼物
-Grazie, Godfather. -Prego.|-谢谢, 教父  -别客气
Give this to Clemenza.|这件事交给克莱门扎
I want reliable people...  people that aren't going to be carried away.|我要用可靠的人... 头脑清醒的人
I mean, we're not murderers, in spite of what this undertaker says.|我是说, 我们不是杀人犯, 下手别太重
-Where's Michael? -What? Don't worry.|-迈克尔在哪儿? -什么? 别担心
We're not taking the picture without Michael.|没有迈克尔, 我们不能拍照
We're not taking it.|我们先不拍了
-What's the matter, Sonny? -It's Michael.|-怎么了, 桑尼?  -因为迈克尔
Don Barzini.|你好, 巴西尼阁下
Hey, Paulie! Let me have some wine.|嘿, 保利! 让我喝点酒
-Paulie! More wine. -Scusi, please.|-保利! 再来点酒  -对不起, 请吧
You look "terrif" on the floor.  What are you, a dance judge or something?|你在舞池里棒极了, 你是舞蹈评委还是什么?
Go take a walk around the neighborhood. Do your job.|闪开吧, 到附近晃晃做好你的工作
Hey, Sandra, come on. Do me a favor. Watch the kids. Don't let 'em run wild, all right?|嘿! 桑德拉, 拜托, 帮个忙. 看着点儿孩子, 别让他们狂奔, 好吗?
Well, You watch yourself, all right?|你看好你自己, 好吗?
Twenty or thirty grand. In small bills, cash.|2, 3万元. 小额钞票, 全是现金
In that little silk purse.|全在那个小丝袋里
If this was somebody else's wedding.|如果这是我的婚礼, 我就发财了
Hey, Paulie! I got two gobbagool, gabagol and a prosciutto.|嘿, 保利! 我弄到两个加巴戈尔, 加巴哥和一个熏火腿
Stupid jerk!|你这个笨蛋!
Hey, what's the matter?|嘿, 怎么了?
-Have to go back to work. -Tom.|-我得回去工作了  -汤姆
It's part of the wedding.|这是婚礼的一部分
No Sicilian can refuse any request on his daughter's wedding day.|没有西西里人能在女儿结婚那天拒绝任何请求
Don Corleone, I am honored and grateful that you have invited me to your home...|柯里昂阁下, 我很荣幸也很感激你邀请我来你家
Hey!|嘿!
Partire. Get outta here.|离开, 滚开这儿
This is a private party. Go on!|这是私人宴会. 快滚!
What is it? Hey, my sister's wedding.|你们干什么? 嘿, 这是我妹妹的婚礼
Goddamn FBI don't respect nothin'.|该死的联邦调查局什么都不尊重
Hey! Come here, come here, come here, come here!|嘿! 过来, 过来, 过来, 过来!
